ᴳᵁᴵᴰᴼ;0;0;0
µBio;0;0;0
µilad;0;0;0
0__;0;0;0
0_o;0;0;0
0_o;0;0;0
0_o;0;0;0
0_o;0;0;0
0_o;0;0;0
0_o;0;0;0
000;0;0;0
000;0;0;0
0000;0;0;0
00010000;0;0;0
001;0;0;0
001;0;0;0
007;0;0;0
007;0;0;0
007jet;0;0;0
00freedom;0;0;0
00noOne;0;0;0
010;0;0;0
0100110010101;0;0;0
01001111;0;0;0
010110110101;0;0;0
0124816;0;0;0
01AutoMonkey;0;0;0
01d;0;0;0
01es;0;0;0
01walid;0;0;0
02Anant;0;0;0
02strich;0;0;0
03B;0;0;0
03it49;0;0;0
03Usr;0;0;0
05WRXSTi;0;0;0
07hc420;0;0;0
08Hawkeye;0;0;0
09-45;0;0;0
0atman;0;0;0
0b10011;0;0;0
0bfus;0;0;0
0bj3ct.m3th0d;0;0;0
0bserver07;0;0;0
0bytes;0;0;0
0concern;0;0;0
0cool;0;0;0
0dd_b1t;0;0;0
0fnt;0;0;0
0GiS0;0;0;0
0l33l;0;0;0
0m3r;0;0;0
0m4r;0;0;0
0NLY777;0;0;0
0nwards;0;0;0
0pcl;0;0;0
0ph3l14;0;0;0
0plus1;0;0;0
0rca;0;0;0
0scar;0;0;0
0sh;0;0;0
0sumgain;0;0;0
0SX;0;0;0
0tar0gz;0;0;0
0v3rth3d4wn;0;0;0
0wl;0;0;0
0x1b;0;0;0
0x1mason;0;0;0
0x24a537r9;0;0;0
0x2D9A3;0;0;0
0x3333;0;0;0
0x434D53;0;0;0
0x44;0;0;0
0x49D1;0;0;0
0x5f3759df;0;0;0
0x69;0;0;0
0x6adb015;0;0;0
0x808080;0;0;0
0x808080;0;0;0
0x89;0;0;0
0x8b4df00d;0;0;0
0x8badf00d;0;0;0
0x90;0;0;0
0x90;0;0;0
0xab3d;0;0;0
0xAF;4;0;0
0xAX;0;0;0
0xB33F;0;0;0
0xBAADF00D;0;0;0
0xbaadf00d;0;0;0
0xbadbeef;0;0;0
0xbadf00d;0;0;0
0xbeefdead;0;0;0
0xC0000022L;0;0;0
0xC0DEFACE;0;0;0
0xCAFEBABE;0;0;0
0xced;0;0;0
0xception;0;0;0
0xDE4E15B;0;0;0
0xDEAD BEEF;0;0;0
0xDEADBEEF;0;0;0
0xDEADBEEF;0;0;0
0xDEFACE;0;0;0
0xe9;0;0;0
0xF;0;0;0
0xf3f;0;0;0
0xFaCeB00c;0;0;0
0xfaded;0;0;0
0xfe;0;0;0
0xFF;0;0;0
0xFF;0;0;0
0xFF;0;0;0
0xFF;0;0;0
0xff0000;0;0;0
0xff00ff;0;0;0
0xG;0;0;0
0xHenry;0;0;0
0xhiryuu;0;0;0
0XO;0;0;0
0xSeb;0;0;0
0zkar;0;0;0
1'''';0;0;0
1.01pm;0;0;0
1.21 gigawatts;0;0;0
1.618;0;0;0
1_am_Jack;0;0;0
10 cls;0;0;0
1000 Needles;0;0;0
1000i1;0;0;0
1001010101;0;0;0
10010110;0;0;0
100grams;0;0;0
100KG;0;0;0
100r;0;0;0
100rabh;0;0;0
101010110101;0;0;0
1015;0;0;0
101V;0;0;0
1073x;0;0;0
1077;0;0;0
108;0;0;0
109221793;0;0;0
10goto10;0;0;0
10goto10;0;0;0
10ToedSloth;0;0;0
10us;0;0;0
10wattmindtrip;0;0;0
1100101;0;0;0
1101;0;0;0
1101;0;0;0
1101;0;0;0
1101;0;0;0
1101;0;0;0
1101;0;0;0
111;0;0;0
1110;0;0;0
1111000110;0;0;0
111111;0;0;0
1111161171159459134;0;0;0
1-14x0r;0;0;0
11helen;0;0;0
11Monkeys;0;0;0
11to3;0;0;0
12 Dogs;0;0;0
123;0;0;0
123;0;0;0
123;0;0;0
123;0;0;0
123;0;0;0
123;0;0;0
1-2-3;0;0;0
123 456 789 0;0;0;0
1234;0;0;0
12345;0;0;0
12345;0;0;0
12345;0;0;0
1234sdf;0;0;0
123abc;0;0;0
123Developer;0;0;0
123Ex;0;0;0
123Ex;0;0;0
123hal321;0;0;0
123kit;0;0;0
123quatre;0;0;0
123quatre;0;0;0
12983;0;0;0
12ChocolateBrownies;0;0;0
12d3;0;0;0
12may;0;0;0
12mrsaturns;0;0;0
131;0;0;0
131nary;0;0;0
1337;0;0;0
133794m3r;0;0;0
1337c0d3r;0;0;0
1337holiday;0;0;0
1337ingDisorder;0;0;0
13470;0;0;0
135498;3;0;0
1355;0;0;0
